Address,Size,Type,Decompiled,Library,Obj,Name
8002ABE0,0000B4,F,F,,,
8002ACA0,000090,F,F,,,
8002AD30,000068,F,F,,,
8002ADA0,0001C0,F,F,,,
8002AF60,000148,F,F,,,
8002B0B0,0001BC,F,F,,,
8002B270,000154,F,F,,,
8002B3D0,000080,F,F,,,
8002B450,000074,F,F,,,
8002B4D0,000114,F,F,,,
8002B5F0,00012C,F,F,,,
8002B720,000234,F,F,,,
8002B960,000188,F,F,,,
8002BAF0,000054,F,F,,,
8002BB50,00001C,F,F,,,
8002BB6C,000008,F,F,,,
8002BB80,000100,F,F,,,
8002BC80,000124,F,F,,,
8002BDB0,000098,F,F,,,
8002BE50,0004D8,F,F,,,
8002C330,000AB0,F,F,,,
8002CDC0,0003C8,F,F,,,
8002CDE0,000060,F,F,,,
8002CE40,000070,F,F,,,
8002CEB0,000070,F,F,,,
8002CF20,000070,F,F,,,
8002CF90,000070,F,F,,,
8002D000,000070,F,F,,,
8002D070,000070,F,F,,,
8002D0E0,0000A8,F,F,,,
8002D190,000088,F,F,,,
8002D220,000070,F,F,,,
8002D290,000180,F,F,,,
8002D410,0000AC,F,F,,,
8002D4C0,000060,F,F,,,
8002D520,000150,F,F,,,
8002D670,000178,F,F,,,
8002D7F0,0001A8,F,F,,,
8002D9A0,000014,F,F,,,
8002D9C0,000070,F,F,,,
8002DA30,000254,F,F,,,
8002DC90,000010,F,F,,,
8002DCA0,000068,F,F,,,
8002DD10,0006BC,F,F,,,
8002E3D0,0001F8,F,F,,,
8002E5D0,000048,F,F,,,
8002E620,000194,F,F,,,
8002E7C0,0000C4,F,F,,,
8002E890,000058,F,F,,,
8002E8F0,0000C4,F,F,,,
8002E9C0,00001C,F,F,,,
8002E9E0,0003D0,F,F,,,
8002EDB0,0000C8,F,F,,,
8002EE80,0000F0,F,F,,,
8002EF70,0003B4,F,F,,,
8002F330,0001F0,F,F,,,
8002F520,0000F4,F,F,,,
8002F620,000058,F,F,,,
8002F680,000064,F,F,,,
8002F6F0,000080,F,F,,,
8002F770,0000E8,F,F,,,
8002F860,000024,F,F,,,
8002F890,000060,F,F,,,
8002F8F0,000008,F,F,,,SetSBirdBoss_FuncPtrs__FP18SBirdBoss_FuncPtrs
8002F900,000010,F,F,,,
8002F910,000008,F,F,,,SetSForestBoss_FuncPtrs__FP20SForestBoss_FuncPtrs
8002F920,000010,F,F,,,
8002F930,000010,F,F,,,
8002F940,000008,F,F,,,SetSJungleBoss1_FuncPtrs__FP21SJungleBoss1_FuncPtrs
8002F950,000010,F,F,,,
8002F960,00008,F,F,,,SetSPirateCrab_FuncPtrs__FP20SPirateCrab_FuncPtrs
8002F970,000010,F,F,,,
